from,to,relationship
UVDL,LK,2
UVDL,NR,2
UVDL,SW,2
UVDL,CS,1
LK,NR,2
LK,SW,2
LK,CS,1
NR,SW,2
NR,CS,1
CL,NR,2
CL,KS,1
CL,LM,1
CL,KD,1
CL,EL,1
NR,KS,1
NR,LM,1
NR,KD,1
NR,EL,1
KS,LM,1
KS,KD,1
KS,EL,1
LM,KD,1
LM,EL,1
KD,EL,1
AB,FT,1
AB,AM,1
AB,AGL,2
AB,ER,1
FT,AM,1
FT,AGL,1
FT,ER,1
AM,AGL,1
AM,ER,1
AGL,ER,1
RH,LK,2
RH,CM,1
RH,KP,1
RH,RK,2
LK,CM,1
LK,KP,1
LK,RK,2
CM,KP,1
CM,RK,1
KP,RK,1
CLA,AGL,2
CLA,SB,1
CLA,CH,1
CLA,MW,1
AGL,SB,1
AGL,CH,1
AGL,MW,1
SB,CH,1
CH,MW,1
OS,CL,2
OS,LK,2
